# Hashes (SHA-256)
4787fe23a4ba66137e41d6caa877251092a7f4957ccd89ed374b71aa6f6e2037|PteroLNK VBScript, ~.drv
twenty-motherboard-keen-flooring.trycloudflare[.]com|Cloudflare quick tunnel
only-strongly-pregnant-weddings.trycloudflare[.]com|Cloudflare quick tunnel
distribute-golden-mm-ak.trycloudflare[.]com|Cloudflare quick tunnel
compete-false-presentations-sim.trycloudflare[.]com|Cloudflare quick tunnel
observe-mouth-gb-redhead.trycloudflare[.]com|Cloudflare quick tunnel
naked-cache-prescribed-favors.trycloudflare[.]com|Cloudflare quick tunnel
productivity-trustee-return-navigate.trycloudflare[.]com|Cloudflare quick tunnel
coaches-drum-f-stress.trycloudflare[.]com|Cloudflare quick tunnel
operation-demonstration-principles-printing.trycloudflare[.]com|Cloudflare quick tunnel
spreading-it-efforts-card.trycloudflare[.]com|Cloudflare quick tunnel
torture-radio-please-toolbox.trycloudflare[.]com|Cloudflare quick tunnel
somewhere-common-phys-blocking.trycloudflare[.]com|Cloudflare quick tunnel
mary-bags-oc-sacrifice.trycloudflare[.]com|Cloudflare quick tunnel
mind-afterwards-undergraduate-til.trycloudflare[.]com|Cloudflare quick tunnel
cal-any-exhaust-excellence.trycloudflare[.]com|Cloudflare quick tunnel
doors-eye-wearing-rise.trycloudflare[.]com|Cloudflare quick tunnel
passed-upload-ball-peripherals.trycloudflare[.]com|Cloudflare quick tunnel
innovative-poet-joan-seed.trycloudflare[.]com|Cloudflare quick tunnel
apollo-herein-dental-removal.trycloudflare[.]com|Cloudflare quick tunnel
chains-circumstances-false-ferry.trycloudflare[.]com|Cloudflare quick tunnel
pushing-structural-paintings-lately.trycloudflare[.]com|Cloudflare quick tunnel
sip-expects-fought-scsi.trycloudflare[.]com|Cloudflare quick tunnel
points-joseph-fiction-protective.trycloudflare[.]com|Cloudflare quick tunnel
groove-simulation-adapted-installed.trycloudflare[.]com|Cloudflare quick tunnel
carey-occurs-tutorials-cons.trycloudflare[.]com|Cloudflare quick tunnel
freeze-lance-yale-icons.trycloudflare[.]com|Cloudflare quick tunnel
yards-sufficiently-dinner-empire.trycloudflare[.]com|Cloudflare quick tunnel
introduce-stage-rfc-happen.trycloudflare[.]com|Cloudflare quick tunnel
dealer-combinations-sees-on.trycloudflare[.]com|Cloudflare quick tunnel
hartford-somewhat-thoroughly-acceptance.trycloudflare[.]com|Cloudflare quick tunnel
sd-elsewhere-praise-gathering.trycloudflare[.]com|Cloudflare quick tunnel
cognitive-attempting-inquire-railroad.trycloudflare[.]com|Cloudflare quick tunnel
weed-ro-scientific-number.trycloudflare[.]com|Cloudflare quick tunnel
tabs-journey-sorry-undertaken.trycloudflare[.]com|Cloudflare quick tunnel
leave-alberta-advertise-performs.trycloudflare[.]com|Cloudflare quick tunnel
such-scientist-mounted-underwear.trycloudflare[.]com|Cloudflare quick tunnel
clark-app-member-walker.trycloudflare[.]com|Cloudflare quick tunnel
echo-m-embassy-cannon.trycloudflare[.]com|Cloudflare quick tunnel
pair-engineers-tribunal-responsibility.trycloudflare[.]com|Cloudflare quick tunnel
homeland-ee-fireplace-layer.trycloudflare[.]com|Cloudflare quick tunnel
invitations-mins-artistic-below.trycloudflare[.]com|Cloudflare quick tunnel
gb-player-aims-todd.trycloudflare[.]com|Cloudflare quick tunnel
sodium-effect-grade-bluetooth.trycloudflare[.]com|Cloudflare quick tunnel
review-marks-trading-blvd.trycloudflare[.]com|Cloudflare quick tunnel
gold-huntington-awful-empirical.trycloudflare[.]com|Cloudflare quick tunnel
shanghai-stated-beans-responsibility.trycloudflare[.]com|Cloudflare quick tunnel
honors-affair-cookbook-decade.trycloudflare[.]com|Cloudflare quick tunnel
feature-march-sofa-define.trycloudflare[.]com|Cloudflare quick tunnel
cpu-eastern-san-bedding.trycloudflare[.]com|Cloudflare quick tunnel
ontario-dare-duke-lotus.trycloudflare[.]com|Cloudflare quick tunnel
situations-crack-directors-window.trycloudflare[.]com|Cloudflare quick tunnel
voltage-redeem-parliament-minimize.trycloudflare[.]com|Cloudflare quick tunnel
tent-students-planners-dosage.trycloudflare[.]com|Cloudflare quick tunnel
go-cherry-cuisine-pete.trycloudflare[.]com|Cloudflare quick tunnel
wanted-rca-headquarters-attempting.trycloudflare[.]com|Cloudflare quick tunnel
tremendous-panama-understanding-marilyn.trycloudflare[.]com|Cloudflare quick tunnel
labels-became-charleston-summer.trycloudflare[.]com|Cloudflare quick tunnel
poverty-effects-indonesian-risk.trycloudflare[.]com|Cloudflare quick tunnel
ideal-compute-ground-amateur.trycloudflare[.]com|Cloudflare quick tunnel
hispanic-nuke-organic-musicians.trycloudflare[.]com|Cloudflare quick tunnel
goat-viewer-differential-odd.trycloudflare[.]com|Cloudflare quick tunnel
restaurant-rider-dropped-inventory.trycloudflare[.]com|Cloudflare quick tunnel
canvas-guides-wiley-dodge.trycloudflare[.]com|Cloudflare quick tunnel
folks-hostel-right-navigator.trycloudflare[.]com|Cloudflare quick tunnel
beauty-cutting-publishing-classified.trycloudflare[.]com|Cloudflare quick tunnel
alexander-trailer-reduce-saving.trycloudflare[.]com|Cloudflare quick tunnel

# IP Addresses
107.189.27[.]156|Gamaredon C2
107.189.24[.]249|Gamaredon C2
45.141.234[.]157|Gamaredon C2
104.194.134[.]206|Gamaredon C2
107.189.19[.]140|Gamaredon C2
107.189.18[.]24|Gamaredon C2

# URLs
hxxps://graph[.]org/Baby-Got-Back-05-05|Dead drop resolver
hxxps://www.telegram[.]me/s/futar23|Dead drop resolver
hxxps://www.telegram[.]me/s/hanabiraga|Dead drop resolver
